Ethnicity	Ethnic Group
Hmong American	Mixed or multiple ethnic groups
Honduran Americans	Mixed or multiple ethnic groups
Hungarian Americans	Mixed or multiple ethnic groups
Indian Americans	Mixed or multiple ethnic groups
Indian Australian	Mixed or multiple ethnic groups
Indo Caribbeans	Mixed or multiple ethnic groups
Indo-Canadians	Mixed or multiple ethnic groups
Indo-Guyanese	Mixed or multiple ethnic groups
Indonesian Americans	Mixed or multiple ethnic groups
Iranian Americans	Mixed or multiple ethnic groups
Iranian Canadians	Mixed or multiple ethnic groups
Iraqi Americans	Mixed or multiple ethnic groups
Israeli Americans	Mixed or multiple ethnic groups
Italian Americans	Mixed or multiple ethnic groups
Italian Australian	Mixed or multiple ethnic groups
Italian Brazilians	Mixed or multiple ethnic groups
Italian Canadians	Mixed or multiple ethnic groups
Japanese Americans	Mixed or multiple ethnic groups
Japanese Brazilians	Mixed or multiple ethnic groups
Korean American	Mixed or multiple ethnic groups
Koryo-saram	Mixed or multiple ethnic groups
Latvian American	Mixed or multiple ethnic groups
Lebanese Americans	Mixed or multiple ethnic groups
Lithuanian American	Mixed or multiple ethnic groups
Louisiana Creole people	Mixed or multiple ethnic groups
Lumbee	Mixed or multiple ethnic groups
Luxembourgish Americans	Mixed or multiple ethnic groups
Malagasy people	Mixed or multiple ethnic groups
Mangaloreans	Mixed or multiple ethnic groups
Mexican Americans	Mixed or multiple ethnic groups
Moroccan Americans	Mixed or multiple ethnic groups
Multiracial American	Mixed or multiple ethnic groups
Métis	Mixed or multiple ethnic groups
Nepali Indian	Mixed or multiple ethnic groups
Nigerian American	Mixed or multiple ethnic groups
Norwegian Americans	Mixed or multiple ethnic groups
Pacific Islander Americans	Mixed or multiple ethnic groups
Pakistani American	Mixed or multiple ethnic groups
Pakistani Canadians	Mixed or multiple ethnic groups
Palestinian American	Mixed or multiple ethnic groups
Panamanian American	Mixed or multiple ethnic groups
Persians	Mixed or multiple ethnic groups
Polish Americans	Mixed or multiple ethnic groups
Polish Australian	Mixed or multiple ethnic groups
Polish Canadians	Mixed or multiple ethnic groups
Portuguese Americans	Mixed or multiple ethnic groups
Puerto Ricans	Mixed or multiple ethnic groups
Romanian Americans	Mixed or multiple ethnic groups
Russian Americans	Mixed or multiple ethnic groups
Russian Canadians	Mixed or multiple ethnic groups
Rusyn American	Mixed or multiple ethnic groups
Salvadoran Americans	Mixed or multiple ethnic groups
Samoan American	Mixed or multiple ethnic groups
Samoan New Zealanders	Mixed or multiple ethnic groups
Scandinavian Americans	Mixed or multiple ethnic groups
Serbian Americans	Mixed or multiple ethnic groups
Serbian Australian	Mixed or multiple ethnic groups
Serbian Canadians	Mixed or multiple ethnic groups
Sicilian Americans	Mixed or multiple ethnic groups
Slovak Americans	Mixed or multiple ethnic groups
Slovene American	Mixed or multiple ethnic groups
South African American	Mixed or multiple ethnic groups
Spanish American	Mixed or multiple ethnic groups
Sri Lankan Americans	Mixed or multiple ethnic groups
Stateside Puerto Ricans	Mixed or multiple ethnic groups
Sudanese Australians	Mixed or multiple ethnic groups
Swedish Americans	Mixed or multiple ethnic groups
Swedish Australian	Mixed or multiple ethnic groups
Swedish Canadians	Mixed or multiple ethnic groups
Syrian Americans	Mixed or multiple ethnic groups
Taiwanese Americans	Mixed or multiple ethnic groups
Tamil Americans	Mixed or multiple ethnic groups
Thai Americans	Mixed or multiple ethnic groups
Turkish Americans	Mixed or multiple ethnic groups
Ukrainian Americans	Mixed or multiple ethnic groups
Ukrainian Canadians	Mixed or multiple ethnic groups
Venezuelan Americans	Mixed or multiple ethnic groups
Vietnamese Americans	Mixed or multiple ethnic groups
Welsh Italians	Mixed or multiple ethnic groups
multiracial people	Mixed or multiple ethnic groups
peoples of the Caucasus	Mixed or multiple ethnic groups
Apache	Asian, Middle East and Tribes
Arabs	Asian, Middle East and Tribes
Arabs in Bulgaria	Asian, Middle East and Tribes
Armenians	Asian, Middle East and Tribes
Armenians in Italy	Asian, Middle East and Tribes
Armenians of Russia	Asian, Middle East and Tribes
Assyrian people	Asian, Middle East and Tribes
Aymara	Asian, Middle East and Tribes
Azerbaijanis	Asian, Middle East and Tribes
Berber	Asian, Middle East and Tribes
Blackfoot Confederacy	Asian, Middle East and Tribes
Bohemian	Asian, Middle East and Tribes
Cherokee	Asian, Middle East and Tribes
Cheyennes	Asian, Middle East and Tribes
Choctaw	Asian, Middle East and Tribes
Copts	Asian, Middle East and Tribes
Cree	Asian, Middle East and Tribes
Egyptians	Asian, Middle East and Tribes
First Nations	Asian, Middle East and Tribes
Haudenosaunee	Asian, Middle East and Tribes
History of the Jews in Morocco	Asian, Middle East and Tribes
Ho-Chunk	Asian, Middle East and Tribes
Indigenous peoples of the Americas	Asian, Middle East and Tribes
Inuit	Asian, Middle East and Tribes
Inupiat people	Asian, Middle East and Tribes
Iranians	Asian, Middle East and Tribes
Iranians in the United Kingdom	Asian, Middle East and Tribes
Jewish people	Asian, Middle East and Tribes
Kabyle people	Asian, Middle East and Tribes
Kurds	Asian, Middle East and Tribes
Mizrahi Jews	Asian, Middle East and Tribes
Mohawk people	Asian, Middle East and Tribes
Moroccans	Asian, Middle East and Tribes
Muslim	Asian, Middle East and Tribes
Māori	Asian, Middle East and Tribes
Native Americans in the United States	Asian, Middle East and Tribes
Native Hawaiians	Asian, Middle East and Tribes
Nez Perce	Asian, Middle East and Tribes
Ojibwe	Asian, Middle East and Tribes
Omaha people	Asian, Middle East and Tribes
Oneida	Asian, Middle East and Tribes
Ossetians	Asian, Middle East and Tribes
Pashtuns	Asian, Middle East and Tribes
Pathani	Asian, Middle East and Tribes
Sioux	Asian, Middle East and Tribes
Sudanese Arabs	Asian, Middle East and Tribes
culture of Palestine	Asian, Middle East and Tribes
demographics of Iraq	Asian, Middle East and Tribes
history of the Jews in India	Asian, Middle East and Tribes
history of the Jews in the African diaspora	Asian, Middle East and Tribes
names of the Greeks	Asian, Middle East and Tribes
